sample_id,sampling_age,parameter,species,voxel_vol_02,voxel_vol_01,voxel_vol_005,voxel_vol_002,voxel_vol_001,convh_vol,true_value,predicted_value,error_value,abs_error,perc_error,relative_residuals
gp_18_07_07_2023,2,aboveground_veg_biomass,tomato,0.028936,0.010664,0.00350925,0.000791192,0.000207171,0.092524777,17.94,35.51513645,-17.57513645,17.57513645,97.96620097,-97.96620097
gp_21_07_07_2023,2,aboveground_veg_biomass,tomato,0.01464,0.00517,0.001551,0.00032792,9.18E-05,0.067172384,13.41,25.78375695,-12.37375695,12.37375695,92.27260961,-92.27260961
gp_17_08_02_2023,5,aboveground_veg_biomass,tomato,0.087208,0.031481,0.00867625,0.00086304,0.000123468,0.330412359,66.55,126.8270008,-60.27700082,60.27700082,90.57400575,-90.57400575
gp_02_06_24_2023,5,aboveground_veg_biomass,tomato,0.035464,0.011474,0.003476625,0.000708136,0.000164172,0.180458748,40.44,69.26811647,-28.82811647,28.82811647,71.2861436,-71.2861436
gp_08_08_02_2023,10,aboveground_veg_biomass,tomato,0.080624,0.028301,0.007748625,0.000757648,0.000108239,0.241289049,142.89,92.61749936,50.27250064,50.27250064,35.18265844,35.18265844
gp_05_09_01_2023,15,aboveground_veg_biomass,tomato,0.155928,0.053167,0.014424625,0.001409872,0.000204465,0.672188045,355.79,258.0157532,97.77424679,97.77424679,27.4808867,27.4808867
gp_07_08_02_2023,10,aboveground_veg_biomass,tomato,0.053496,0.016006,0.00433925,0.000679312,0.000122526,0.428105416,219.85,164.3259533,55.52404667,55.52404667,25.25542264,25.25542264
gp_19_09_01_2023,10,aboveground_veg_biomass,tomato,0.302872,0.099129,0.021436,0.001757392,0.000240222,1.317977945,419.69,505.8987214,-86.20872136,86.20872136,20.54104729,-20.54104729
gp_06_09_01_2023,15,aboveground_veg_biomass,tomato,0.154912,0.053644,0.0131535,0.001178216,0.000164178,0.623179678,199.18,239.204156,-40.02415598,40.02415598,20.0944653,-20.0944653
gp_09_06_24_2023,5,aboveground_veg_biomass,tomato,0.033712,0.010756,0.003093375,0.000575224,0.00012382,0.155316929,64,59.61756494,4.382435059,4.382435059,6.84755478,6.84755478
gp_20_10_02_2023,15,aboveground_veg_biomass,tomato,0.356456,0.117185,0.025366,0.002109008,0.000286571,1.78959822,724.07,686.9276184,37.14238157,37.14238157,5.129667238,5.129667238
gp_18_07_07_2023,2,leaf_biomass,tomato,0.028936,0.010664,0.00350925,0.000791192,0.000207171,0.092524777,8.79,15.44548656,-6.655486564,6.655486564,75.71657069,-75.71657069
gp_17_08_02_2023,5,leaf_biomass,tomato,0.087208,0.031481,0.00867625,0.00086304,0.000123468,0.330412359,31.54,55.15689739,-23.61689739,23.61689739,74.87919274,-74.87919274
gp_02_06_24_2023,5,leaf_biomass,tomato,0.035464,0.011474,0.003476625,0.000708136,0.000164172,0.180458748,17.23,30.12461359,-12.89461359,12.89461359,74.83815201,-74.83815201
gp_21_07_07_2023,2,leaf_biomass,tomato,0.01464,0.00517,0.001551,0.00032792,9.18E-05,0.067172384,7.01,11.2133223,-4.203322298,4.203322298,59.96180169,-59.96180169
gp_05_09_01_2023,15,leaf_biomass,tomato,0.155928,0.053167,0.014424625,0.001409872,0.000204465,0.672188045,144.4,112.2107149,32.18928515,32.18928515,22.29174872,22.29174872
gp_06_09_01_2023,15,leaf_biomass,tomato,0.154912,0.053644,0.0131535,0.001178216,0.000164178,0.623179678,85.12,104.0295757,-18.90957573,18.90957573,22.21519705,-22.21519705
gp_08_08_02_2023,10,leaf_biomass,tomato,0.080624,0.028301,0.007748625,0.000757648,0.000108239,0.241289049,48.11,40.27922978,7.830770219,7.830770219,16.27680362,16.27680362
gp_19_09_01_2023,10,leaf_biomass,tomato,0.302872,0.099129,0.021436,0.001757392,0.000240222,1.317977945,197.67,220.0146947,-22.34469468,22.34469468,11.3040394,-11.3040394
gp_20_10_02_2023,15,leaf_biomass,tomato,0.356456,0.117185,0.025366,0.002109008,0.000286571,1.78959822,315.53,298.7439261,16.78607388,16.78607388,5.319961297,5.319961297
gp_09_06_24_2023,5,leaf_biomass,tomato,0.033712,0.010756,0.003093375,0.000575224,0.00012382,0.155316929,26.96,25.92760131,1.032398695,1.032398695,3.829372014,3.829372014
gp_07_08_02_2023,10,leaf_biomass,tomato,0.053496,0.016006,0.00433925,0.000679312,0.000122526,0.428105416,72.33,71.46514297,0.864857028,0.864857028,1.195709979,1.195709979
gp_09_06_24_2023,5,leaf_no,tomato,0.033712,0.010756,0.003093375,0.000575224,0.00012382,0.155316929,26,149.039268,-123.039268,123.039268,473.2279537,-473.2279537
gp_18_07_07_2023,2,leaf_no,tomato,0.028936,0.010664,0.00350925,0.000791192,0.000207171,0.092524777,16,88.7850744,-72.7850744,72.7850744,454.906715,-454.906715
gp_21_07_07_2023,2,leaf_no,tomato,0.01464,0.00517,0.001551,0.00032792,9.18E-05,0.067172384,22,64.45738374,-42.45738374,42.45738374,192.9881079,-192.9881079
gp_06_09_01_2023,15,leaf_no,tomato,0.154912,0.053644,0.0131535,0.001178216,0.000164178,0.623179678,373,597.9917552,-224.9917552,224.9917552,60.31950542,-60.31950542
gp_02_06_24_2023,5,leaf_no,tomato,0.035464,0.011474,0.003476625,0.000708136,0.000164172,0.180458748,111,173.164895,-62.16489499,62.16489499,56.0044099,-56.0044099
gp_17_08_02_2023,5,leaf_no,tomato,0.087208,0.031481,0.00867625,0.00086304,0.000123468,0.330412359,230,317.0576219,-87.05762185,87.05762185,37.85113994,-37.85113994
gp_08_08_02_2023,10,leaf_no,tomato,0.080624,0.028301,0.007748625,0.000757648,0.000108239,0.241289049,176,231.5365332,-55.53653321,55.53653321,31.55484842,-31.55484842
gp_07_08_02_2023,10,leaf_no,tomato,0.053496,0.016006,0.00433925,0.000679312,0.000122526,0.428105416,499,410.8020819,88.19791815,88.19791815,17.6749335,17.6749335
gp_05_09_01_2023,15,leaf_no,tomato,0.155928,0.053167,0.014424625,0.001409872,0.000204465,0.672188045,775,645.0192828,129.9807172,129.9807172,16.77170544,16.77170544
gp_19_09_01_2023,10,leaf_no,tomato,0.302872,0.099129,0.021436,0.001757392,0.000240222,1.317977945,1382,1264.707392,117.2926076,117.2926076,8.487164083,8.487164083
gp_20_10_02_2023,15,leaf_no,tomato,0.356456,0.117185,0.025366,0.002109008,0.000286571,1.78959822,1685,1717.265532,-32.26553235,32.26553235,1.914868389,-1.914868389
gp_21_07_07_2023,2,shoot_biomass,tomato,0.01464,0.00517,0.001551,0.00032792,9.18E-05,0.067172384,6.4,14.57043466,-8.170434657,8.170434657,127.6630415,-127.6630415
gp_18_07_07_2023,2,shoot_biomass,tomato,0.028936,0.010664,0.00350925,0.000791192,0.000207171,0.092524777,9.15,20.0696499,-10.9196499,10.9196499,119.3404361,-119.3404361
gp_17_08_02_2023,5,shoot_biomass,tomato,0.087208,0.031481,0.00867625,0.00086304,0.000123468,0.330412359,35.01,71.67010347,-36.66010347,36.66010347,104.7132347,-104.7132347
gp_02_06_24_2023,5,shoot_biomass,tomato,0.035464,0.011474,0.003476625,0.000708136,0.000164172,0.180458748,23.21,39.1435029,-15.9335029,15.9335029,68.64930159,-68.64930159
gp_08_08_02_2023,10,shoot_biomass,tomato,0.080624,0.028301,0.007748625,0.000757648,0.000108239,0.241289049,94.78,52.3382696,42.4417304,42.4417304,44.77920489,44.77920489
gp_07_08_02_2023,10,shoot_biomass,tomato,0.053496,0.016006,0.00433925,0.000679312,0.000122526,0.428105416,147.52,92.86081041,54.65918959,54.65918959,37.05205368,37.05205368
gp_05_09_01_2023,15,shoot_biomass,tomato,0.155928,0.053167,0.014424625,0.001409872,0.000204465,0.672188045,211.39,145.8050384,65.58496157,65.58496157,31.02557433,31.02557433
gp_19_09_01_2023,10,shoot_biomass,tomato,0.302872,0.099129,0.021436,0.001757392,0.000240222,1.317977945,222.02,285.8840268,-63.86402681,63.86402681,28.7649882,-28.7649882
gp_06_09_01_2023,15,shoot_biomass,tomato,0.154912,0.053644,0.0131535,0.001178216,0.000164178,0.623179678,114.06,135.1745803,-21.11458031,21.11458031,18.51181861,-18.51181861
gp_09_06_24_2023,5,shoot_biomass,tomato,0.033712,0.010756,0.003093375,0.000575224,0.00012382,0.155316929,37.04,33.68996365,3.350036349,3.350036349,9.044374591,9.044374591
gp_20_10_02_2023,15,shoot_biomass,tomato,0.356456,0.117185,0.025366,0.002109008,0.000286571,1.78959822,408.54,388.1836925,20.35630751,20.35630751,4.982696311,4.982696311
gp_09_06_24_2023,5,shoot_no,tomato,0.033712,0.010756,0.003093375,0.000575224,0.00012382,0.155316929,4,7.740011813,-3.740011813,3.740011813,93.50029533,-93.50029533
gp_18_07_07_2023,2,shoot_no,tomato,0.028936,0.010664,0.00350925,0.000791192,0.000207171,0.092524777,3,4.610848765,-1.610848765,1.610848765,53.69495884,-53.69495884
gp_07_08_02_2023,10,shoot_no,tomato,0.053496,0.016006,0.00433925,0.000679312,0.000122526,0.428105416,35,21.33406189,13.66593811,13.66593811,39.04553747,39.04553747
gp_06_09_01_2023,15,shoot_no,tomato,0.154912,0.053644,0.0131535,0.001178216,0.000164178,0.623179678,23,31.05532732,-8.055327315,8.055327315,35.02316224,-35.02316224
gp_08_08_02_2023,10,shoot_no,tomato,0.080624,0.028301,0.007748625,0.000757648,0.000108239,0.241289049,15,12.02431766,2.975682337,2.975682337,19.83788225,19.83788225
gp_02_06_24_2023,5,shoot_no,tomato,0.035464,0.011474,0.003476625,0.000708136,0.000164172,0.180458748,11,8.992920799,2.007079201,2.007079201,18.24617455,18.24617455
gp_17_08_02_2023,5,shoot_no,tomato,0.087208,0.031481,0.00867625,0.00086304,0.000123468,0.330412359,14,16.46565883,-2.46565883,2.46565883,17.61184878,-17.61184878
gp_21_07_07_2023,2,shoot_no,tomato,0.01464,0.00517,0.001551,0.00032792,9.18E-05,0.067172384,4,3.347446068,0.652553932,0.652553932,16.31384829,16.31384829
gp_05_09_01_2023,15,shoot_no,tomato,0.155928,0.053167,0.014424625,0.001409872,0.000204465,0.672188045,40,33.49759387,6.502406132,6.502406132,16.25601533,16.25601533
gp_20_10_02_2023,15,shoot_no,tomato,0.356456,0.117185,0.025366,0.002109008,0.000286571,1.78959822,86,89.18223827,-3.182238265,3.182238265,3.700277053,-3.700277053
gp_19_09_01_2023,10,shoot_no,tomato,0.302872,0.099129,0.021436,0.001757392,0.000240222,1.317977945,66,65.67967148,0.320328524,0.320328524,0.485346248,0.485346248
ta_Sugar_Baby_Day_Zero,0,aboveground_veg_biomass,watermelon,0.003032,0.001091,0.000351625,8.31E-05,2.38E-05,0.006883391,2.46,6.163359631,-3.703359631,3.703359631,150.5430744,-150.5430744
gp_15_06_24_2023,4,aboveground_veg_biomass,watermelon,0.006656,0.002231,0.000692375,0.000150104,4.15E-05,0.023606071,5.91,13.5301193,-7.620119297,7.620119297,128.9360287,-128.9360287
gp_24_07_07_2023,2,aboveground_veg_biomass,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,12.54,27.41800617,-14.87800617,14.87800617,118.6443873,-118.6443873
gp_22_07_07_2023,2,aboveground_veg_biomass,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,16.27,27.41800617,-11.14800617,11.14800617,68.51878408,-68.51878408
gp_13_08_02_2023,9,aboveground_veg_biomass,watermelon,0.250456,0.089894,0.026077125,0.003720376,0.000599381,1.130091717,433.62,509.119525,-75.49952502,75.49952502,17.41144897,-17.41144897
gp_10_09_14_2023,15,aboveground_veg_biomass,watermelon,0.208528,0.066322,0.014078125,0.001175392,0.0001598,1.310401548,458.63,423.8895307,34.74046925,34.74046925,7.574835761,7.574835761
gp_14_08_02_2023,9,aboveground_veg_biomass,watermelon,0.24164,0.073067,0.01829075,0.002179304,0.000326055,2.133681515,525.05,491.1986218,33.85137818,33.85137818,6.447267533,6.447267533
gp_11_09_14_2023,15,aboveground_veg_biomass,watermelon,0.37576,0.109201,0.01909675,0.00148884,0.000200039,2.68628006,774.76,763.8337781,10.92622193,10.92622193,1.410271817,1.410271817
ta_Sugar_Baby_Day_Zero,0,leaf_biomass,watermelon,0.003032,0.001091,0.000351625,8.31E-05,2.38E-05,0.006883391,1.11,3.349048433,-2.239048433,2.239048433,201.716075,-201.716075
gp_15_06_24_2023,4,leaf_biomass,watermelon,0.006656,0.002231,0.000692375,0.000150104,4.15E-05,0.023606071,3.13,7.352000781,-4.222000781,4.222000781,134.8882039,-134.8882039
gp_24_07_07_2023,2,leaf_biomass,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,8.99,14.89840543,-5.908405428,5.908405428,65.72197362,-65.72197362
gp_22_07_07_2023,2,leaf_biomass,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,11.35,14.89840543,-3.548405428,3.548405428,31.26348395,-31.26348395
gp_14_08_02_2023,9,leaf_biomass,watermelon,0.24164,0.073067,0.01829075,0.002179304,0.000326055,2.133681515,293.97,266.9076726,27.06232742,27.06232742,9.205812642,9.205812642
gp_13_08_02_2023,9,leaf_biomass,watermelon,0.250456,0.089894,0.026077125,0.003720376,0.000599381,1.130091717,253.83,276.645539,-22.815539,22.815539,8.988511601,-8.988511601
gp_10_09_14_2023,15,leaf_biomass,watermelon,0.208528,0.066322,0.014078125,0.001175392,0.0001598,1.310401548,245.22,230.333236,14.886764,14.886764,6.070778892,6.070778892
gp_11_09_14_2023,15,leaf_biomass,watermelon,0.37576,0.109201,0.01909675,0.00148884,0.000200039,2.68628006,404.11,415.0522556,-10.94225562,10.94225562,2.707741857,-2.707741857
gp_24_07_07_2023,2,leaf_no,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,43,62.34183166,-19.34183166,19.34183166,44.98100387,-44.98100387
gp_22_07_07_2023,2,leaf_no,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,43,62.34183166,-19.34183166,19.34183166,44.98100387,-44.98100387
ta_Sugar_Baby_Day_Zero,0,leaf_no,watermelon,0.003032,0.001091,0.000351625,8.31E-05,2.38E-05,0.006883391,21,11.57114141,9.428858594,9.428858594,44.89932664,44.89932664
gp_15_06_24_2023,4,leaf_no,watermelon,0.006656,0.002231,0.000692375,0.000150104,4.15E-05,0.023606071,34,38.53576078,-4.535760782,4.535760782,13.34047289,-13.34047289
gp_14_08_02_2023,9,leaf_no,watermelon,0.24164,0.073067,0.01829075,0.002179304,0.000326055,2.133681515,894,1010.484952,-116.4849519,116.4849519,13.02963668,-13.02963668
gp_11_09_14_2023,15,leaf_no,watermelon,0.37576,0.109201,0.01909675,0.00148884,0.000200039,2.68628006,1142,1106.401689,35.59831118,35.59831118,3.117190121,3.117190121
gp_10_09_14_2023,15,leaf_no,watermelon,0.208528,0.066322,0.014078125,0.001175392,0.0001598,1.310401548,834,816.1902206,17.80977941,17.80977941,2.135465157,2.135465157
gp_13_08_02_2023,9,leaf_no,watermelon,0.250456,0.089894,0.026077125,0.003720376,0.000599381,1.130091717,758,760.0814824,-2.081482379,2.081482379,0.274601897,-0.274601897
gp_24_07_07_2023,2,shoot_biomass,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,3.55,12.51960076,-8.969600756,8.969600756,252.66481,-252.66481
gp_22_07_07_2023,2,shoot_biomass,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,4.92,12.51960076,-7.599600756,7.599600756,154.46343,-154.46343
gp_15_06_24_2023,4,shoot_biomass,watermelon,0.006656,0.002231,0.000692375,0.000150104,4.15E-05,0.023606071,2.78,6.178118522,-3.398118522,3.398118522,122.2344792,-122.2344792
ta_Sugar_Baby_Day_Zero,0,shoot_biomass,watermelon,0.003032,0.001091,0.000351625,8.31E-05,2.38E-05,0.006883391,1.35,2.814311202,-1.464311202,1.464311202,108.4674964,-108.4674964
gp_13_08_02_2023,9,shoot_biomass,watermelon,0.250456,0.089894,0.026077125,0.003720376,0.000599381,1.130091717,179.79,232.4739863,-52.68398627,52.68398627,29.30306818,-29.30306818
gp_10_09_14_2023,15,shoot_biomass,watermelon,0.208528,0.066322,0.014078125,0.001175392,0.0001598,1.310401548,213.41,193.556295,19.85370504,19.85370504,9.303080944,9.303080944
gp_11_09_14_2023,15,shoot_biomass,watermelon,0.37576,0.109201,0.01909675,0.00148884,0.000200039,2.68628006,370.65,348.7815228,21.86847717,21.86847717,5.90003431,5.90003431
gp_14_08_02_2023,9,shoot_biomass,watermelon,0.24164,0.073067,0.01829075,0.002179304,0.000326055,2.133681515,231.08,224.2909495,6.789050519,6.789050519,2.937965431,2.937965431
ta_Sugar_Baby_Day_Zero,0,shoot_no,watermelon,0.003032,0.001091,0.000351625,8.31E-05,2.38E-05,0.006883391,4,0.84057695,3.15942305,3.15942305,78.98557625,78.98557625
gp_15_06_24_2023,4,shoot_no,watermelon,0.006656,0.002231,0.000692375,0.000150104,4.15E-05,0.023606071,3,1.655156675,1.344843325,1.344843325,44.82811084,44.82811084
gp_24_07_07_2023,2,shoot_no,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,4,3.009701756,0.990298244,0.990298244,24.75745609,24.75745609
gp_22_07_07_2023,2,shoot_no,watermelon,0.013488,0.004343,0.001259,0.00025692,6.80E-05,0.03919971,4,3.009701756,0.990298244,0.990298244,24.75745609,24.75745609
gp_10_09_14_2023,15,shoot_no,watermelon,0.208528,0.066322,0.014078125,0.001175392,0.0001598,1.310401548,28,33.65445396,-5.654453962,5.654453962,20.19447843,-20.19447843
gp_11_09_14_2023,15,shoot_no,watermelon,0.37576,0.109201,0.01909675,0.00148884,0.000200039,2.68628006,54,45.65172519,8.34827481,8.34827481,15.45976817,15.45976817
gp_14_08_02_2023,9,shoot_no,watermelon,0.24164,0.073067,0.01829075,0.002179304,0.000326055,2.133681515,41,43.72494233,-2.724942334,2.724942334,6.646200815,-6.646200815
gp_13_08_02_2023,9,shoot_no,watermelon,0.250456,0.089894,0.026077125,0.003720376,0.000599381,1.130091717,61,62.3386568,-1.3386568,1.3386568,2.194519345,-2.194519345
